sair,siir_baslik,siir_link,siir_metni,kayit_tarihi,etiketler
Ümit Yaşar Oğuzcan,Bir Gün Anlarsın,/bir-gun-anlarsin-siiri/,"Ne varsa en güzel üç gün üç gece
Bir kıyı şehrinde seninle yaşadık
Tutuştum,elim ellerine değince
Öylesi sıcaktın,öylesi aydınlıkGüzellikten,mu....................",25.2.2001 14:10:00,['Gece']
Ümit Yaşar Oğuzcan,Aşk Okudum - Aşk Dokudum,/ask-okudum-ask-dokudum-siiri/,"Bu kadar yürekten çağırma beni! 
Bir gece ansızın gelebilirim.
Beni bekliyorsan, uyumamışsan, 
Sevinçten kapında ölebilirim.Belki de hayata yeni başlarım, 
İçimde küllenen kor alevlenir, 
Bak....................",28.8.2000 18:26:00,"['Aşk', 'Gece', 'Sevgi', 'Deniz']"
Ümit Yaşar Oğuzcan,beni-unutma,/beni-unutma-siiri/,"Uykuların kaçar geceleri
Bir türlü sabah olmayı bilmez
Dikilir gözlerin tavanda bir noktaya
Deli eden bir uğultudur başlar kulaklarında
Ne çarşaf halden anlar, ne yastık
Girmez pencerelerden beklediğin aydınlık
Kapanır yatağına çaresizliğine ağlarsın
Onun unutamadığın hayali
Sigaradan derin bir nefes çekmişcesine dolar içine
Sevmek ne imiş bir gün anlarsın
Bir gün anlarsın aslında her şeyin boş olduğunu
Şerefin, faziletin, iyiliğin, güzelliğin
Gün gel....................",29.8.2000 06:38:00,"['Gece', 'Umut', 'Zaman']"
Ümit Yaşar Oğuzcan,İstanbul,/istanbul-33-siiri/,"Bu nasıl sevgi böyle? 
Bu nasıl tutku? 
Bu nasıl özlem? 
Ne zaman gözlerini görsem
Bir çoğalıyorum, bir eksiliyorumMutluyum varsın diye
Al uzattım ellerimi
Seni sarsın diye
Ceylanım! Belki bir gün duyarsın diye
Çıkmışım bir dağ başına sana türkü söylüy....................",16.12.2001 04:22:00,"['Çiçek', 'Aşk', 'Özlem', 'Sevgi', 'Zaman']"
Ümit Yaşar Oğuzcan,Aşk Başlamadan Güzel,/ask-baslamadan-guzel-siiri/,"Sana şiirler okuyacağım, gitme
Güneşler doğacak yalnızlığımdan
sana bir ışık getireceğim
Büyük aydınlığımdanSana bir dolu umut getireceğim
Küçük ellerine sığmayaca....................",28.8.2000 16:24:00,"['Yağmur', 'Umut', 'Çiçek']"
Ümit Yaşar Oğuzcan,Acılar Denizi,/acilar-denizi-siiri/,"Beni kör kuyularda merdivensiz bıraktın,
Denizler....................",13.9.2000 05:48:00,[]
Ümit Yaşar Oğuzcan,Dağ Rüzgarı,/dag-ruzgari-siiri/,"Aşk başlamadan güzel,
Kalplerde heyecan
Bakışlarda korku olduğu za....................",12.4.2001 23:33:00,"['Zaman', 'Aşk', 'Sevgi']"
Ümit Yaşar Oğuzcan,Sevi Şiiri,/sevi-siiri-siiri/,"Ayrılık diye bir şey yok. 
Bu bizim yalanımız.
Sevmek var aslında, özlemek var, beklemek var. 
Şimdi neredesin? Ne yapıyorsun?Güneş çoktan doğdu.
Uyanmış olmalısın. 
Saçlarını tararken beni hatırladın, değil mi? 
Öyleyse ayrılmadık. 
Sadece özlemliyiz ve bekliyoruz.Zamanı hatırlatan her şeyden nefret ediyorum. 
Önce beklemekten. 
Ömür boyunca ya bekliyor ya bekletiyor insan. 
İkisi de kötü, ikisi de hazin tarafı yaşantımızın.Bir çocuğun önce doğmasını bekliyorlar, 
Sonra yürümesini, konuşmasını, büyümes....................",18.11.2000 20:43:00,"['Güneş', 'Mutluluk', 'Umut', 'Para', 'Zaman', 'Ayrılık', 'Nefret', 'Ölüm']"
Ümit Yaşar Oğuzcan,Ben Seni Sevdim Mi?,/ben-seni-sevdim-mi-siiri/,"Merhametsiz karanlık içindeyim
Ne zaman güneş doğacak bilmiyorum
Mavi denizlere mor dağlara karşı
Bildiğim bir şarki var onu söylüyorumBildiğim bir şarki var onu söylüyorum
Butun şarkılar gibi kederli
Sokaklar,....................",28.8.2000 17:38:00,"['Güneş', 'Zaman']"
Ümit Yaşar Oğuzcan, Mustafa Kemal'i Düşünüyorum,/mustafa-kemal-i-dusunuyorum-siiri/,"Her şey güzeldi bir zaman, çok önce
Şehirler, insanlar, güneş deniz
Mutluluğumu görebilirdiniz
Çökmeseydi içime bu son geceHer şey bir anda bitmeseydi, yazık
Olmasaydı gençliğime aptalca
Belki de o yerlere varırdık
O uzak dağlara ulu: koskocaOrada her şey değişirdi belki
Acardı umutlarımız bakarsın
Ateş rengi, kan rengi güller gibi
Toprağında kim bilir hangi aşkınOysa simdi nerdeyiz, neyiz bak
Her umut belirtisinden uzağız
O sevilmiş gözlerde saf v....................",28.8.2000 16:27:00,"['Güneş', 'Umut', 'Deniz']"
Ümit Yaşar Oğuzcan,Milyon Kere Ayten,/milyon-kere-ayten-siiri/,"Ben bir Ayten'dir tutturmuşum
Oh ne iyi 
Ayten'li içkiler içip sarhoş oluyorum
Ne güzel
Hoşuma gitmiyorsa rengi denizlerin
Biraz Ayten sürüyorum, güzelleşiyor
Şarkılar söylüyorum
Şiirler yazıyorum, Ayten üstüne
Saatim her zaman ya Ayten’e beş var
Ya Ayten’i beş geçiyor.Ne yana baksam gördüğüm o
Gözümü yumsam aklımdan Ayten geçiyor
Bana sorarsanız mevs....................",16.12.2000 12:27:00,"['Günaydın', 'Ölüm']"
Ümit Yaşar Oğuzcan,Unutamiyorum,/unutamiyorum-siiri/,"En eski yalnızlığımdır aşk benim
Gitgide büyüyen karanlıklarla
Ne zaman sevdiysem kavruldu tenim
Bir ateşin açtığı yanıklarlaSabahı ....................",8.8.2000 15:25:00,['Zaman']
Ümit Yaşar Oğuzcan,Unutma ki,/unutma-ki-siiri/,"O artık benim için bir ölüdür demişsin
Seni bunca sevene acı bir sitem mi bu
Ayrılıklar içinde taş mı kesildi kalbin
Hiç unutmam dedigin günleri unuttun mu
Bir ev ....................",11.8.2000 15:53:00,['Sitem']
Ümit Yaşar Oğuzcan,Aldanış,/aldanis-siiri/,"Sen uykusuzluk nedir bilir misin
Tırnaklarınla yastığını parçaladın mı
Gözlerini tavana dikip
Düşündüğün oldu mu bütün gece
Ve bütün bir gün
Belki gelir ümidiyle bekledin mi hiç?
Gelmeyince
Seni aramayınca
Ölesiye ağladın mı?
Sonra çekilip en koyusuna yalnızlıkların
Ona ait ne varsa
Bir bir hatırladın mıSen günden güne erimeyi bilir misin
Dev bir ağacın vakarı....................",17.10.2000 12:45:00,"['Köpek', 'Asker', 'Şehir']"
Ümit Yaşar Oğuzcan,Her Gün Seninle,/her-gun-seninle-siiri/,"Süzülüp mavi göklerden yere doğru
Omuzuma bir beyaz güvercin konduAldım elime, usul usul okşadım
Sevdim, gençliğimi yeniden yaşadımBembeyazdı tüyleri,öyle parlaktı
Açsam ellerimi birden uçacaktıEğildim kulağına;dur,gitme dedim
Hareli gözleri....................",26.6.2000 19:13:00,['Hayat']
Ümit Yaşar Oğuzcan,2,/2-15-siiri/,"Bana benzeyen bir gözlerim kaldı
Bir de kederli bakışlarım
Düşüncemin olmadığı
Aynalarda ben varımYalan değil değiştiği....................",28.10.2001 03:09:00,"['Zaman', 'Ölüm']"
Ümit Yaşar Oğuzcan,Bir Gece Ansızın Gelebilirim,/bir-gece-ansizin-gelebilirim-siiri/,"IYaşanmamış hatıralar bilirim
Büyülü sonbahar akşamlarında
Bulutlar üstünde su kenarında
Yalnız hayal edilen hatıralar
İşte; en ürpertici nagmelerle
Bizim şarkımızı söyleyen rüzgar
Sen dudagında gülümsemelerle
Ben gözyaşlarımla, bu alemdeyim
Fakat yine bizbize, başbaşayız
Duymasan düşünmesen de; unutma
....................",11.8.2000 16:02:00,"['Hüzün', 'Yağmur']"
Ümit Yaşar Oğuzcan,Dost Bildiklerim,/dost-bildiklerim-siiri/,"Bırakma beni sevdiğim
Gidişine dayanamam
Hasret ....................",4.1.2001 14:14:00,['Hasret']
Ümit Yaşar Oğuzcan,Ayrılanlar İçin,/ayrilanlar-icin-siiri/,"Ne zaman seni düşünsem yalnızlığım aklıma gelir
Bir ürperti gibi derinden derine duyarım çaresizliğimi
Nedir bu gürültüler derim,top patlamaları
Nedir bu şakaklarımda zonklayan ağrı
İçimden dalga dalga boşanan gözyaşları ne
Bu hangi nehir ki uzayıp gider alabildiğine
Nedir bu ümitsizlik dolu bu kahır dolu yaşlar
Bu denizler altında kopup gelen fırt....................",22.12.2000 00:07:00,"['Tanrı', 'Zaman', 'Kadın']"
Ümit Yaşar Oğuzcan,Bekleyenler İçin,/bekleyenler-icin-siiri/,"Ölürsem şaşırma
Ölebilirim
Ölürsem aglama
Yine geli....................",12.8.2000 15:45:00,[]
Ümit Yaşar Oğuzcan,İmkansız Aşk,/imkansiz-ask-130-siiri/,"Sanırdım gündüzdü onlarla gecem
İçimde ümitti dost bildiklerim
Ne zaman yıkılıp yere düştüysem
Bırakıp da gitti dost bildiklerim
Hepsi varken baharımda, yazımda: 
Kışın bir burukluk kaldı ağzımda....................",28.8.2000 19:16:00,"['Dost', 'Zaman']"
Ümit Yaşar Oğuzcan,En Eski Yalnızlığımdır Aşk Benim,/en-eski-yalnizligimdir-ask-benim-siiri/,"Bir kadın göğsü başlarsa konuşmaya,
En güzel deniz olur;
En sa....................",21.3.2001 22:29:00,"['Deniz', 'Kadın']"
Ümit Yaşar Oğuzcan,Kum,/kum-siiri/,"Ben çakıl taşıyım küçük
Ben kaldırı....................",7.2.2002 05:10:00,[]
Ümit Yaşar Oğuzcan,Dost Koşması,/dost-kosmasi-siiri/,"Ben orada öldüm en çok orada bilmezsin
Orada zaman buruşmuş bir eski resimdi
Orada sen yoktun, gözlerin belli belirsiz
Koptum oradan, bir kırık heykelim şimdiBir kolum derin denizlerde tek başına
Ayaklarım çöllerde kum tepelerinde gömülü
Alıp götürür saçlarımı bir soguk rüzgar
Ben orada öldüm, en çok orada bir başka türlüHiç bende degilsin, burada yoksun ki
Orada var mısın, ya da ben yok muyum
Tek degiliz seninle, bütün olmadık hiç
Şimdi nerdeyiz nasılız ....................",11.8.2000 15:36:00,"['Günaydın', 'Ölüm']"
Ümit Yaşar Oğuzcan,Affet Beni,/affet-beni-3-siiri/,"Bir duygu mu var böyle derin, böyle geniş 
Sevmek bir ölüş, belki tekrar diriliş 
Bitmez kederim, bil ki tükenmez derdim 
Aç kalbimi öğren, seni sevmek ne imiş! Seven kaybeder miydi arayıp bulmasaydı
Yeni güller açmazdı o güller solmasaydı
Hiç çekilmez olurdu yaşadığımız dünya
Aşkın....................",28.7.2001 15:07:00,['Zaman']
Ümit Yaşar Oğuzcan,Aşkmıydı O?,/askmiydi-o-siiri/,"Susadık şiire ey koca şair
'Yeşil pencereden bir gül at bize'
'Beyaz dokusunda o saf rüyanın'
Yeni ufuklar aç h....................",8.2.2002 05:23:00,['Çiçek']
Ümit Yaşar Oğuzcan,Beşinci Mektup,/besinci-mektup-siiri/,"Ben sersemin biriyim
Oturmuş senin için aşk şiirleri yazıyorum
Ellerinin beyazlığın....................",13.6.2001 15:39:00,['Şiir']
Ümit Yaşar Oğuzcan,Aşk Çizgisi,/ask-cizgisi-siiri/,"Yokluğun her dakika ölüm demek gitme kal
Hasretim ....................",11.8.2000 15:58:00,['Ölüm']
Ümit Yaşar Oğuzcan,Altıncı Mektup,/altinci-mektup-siiri/,"Tam sınırdan kaçarken vurulmak nedir bilir misin? 
Nöbetçiler ha gördü, ha görecek
Parmaklarının ucu dikenli tellere değdi değecek...
Ama... Bir adım daha atamazsın.
Uzanıp tutamazsın; 
Göz pınarlarında donup kalır hayallerin
Planların, kaçışın, kurtuluşun
Ve deler sev....................",26.5.2001 19:45:00,"['Aşk', 'Sevgi', 'Deniz', 'Ölüm']"
Ümit Yaşar Oğuzcan,Yağmur Altında Öpüşmek,/yagmur-altinda-opusmek-siiri/,"İşte İstanbul
yorgun şehir
işte canından bezmiş boğaz vapurları
kederli tramvaylar
ve Galata Köprüsü'nden
telaşlı insanlar geçmektedir
bir gizli sevinç mahzun gözbebeklerimde
eriyen bir sükun kaldırımlarda adım adım
işte İstanbul
İstanbul dedim de seni hatırladım.Balıkçı tepsileri....................",13.8.2000 16:49:00,"['Sevinç', 'İstanbul', 'Allah', 'Çiçek', 'Tanrı', 'Şehir', 'Kadın']"
Ümit Yaşar Oğuzcan,Karanlığın Gözleri,/karanligin-gozleri-siiri/,"Senin aydınlığın yetişir bana
Güneşi istemiyorum
Yıldızları istemiyorum
Açma perdeleri
Ben bu karanlığı seviyorum
Ben yalnızlığı bu geceleriKaranlı....................",2.9.2002 05:00:00,['Deniz']
Ümit Yaşar Oğuzcan,Aşk Fısıltıları,/ask-fisiltilari-siiri/,"Kararmış tahta masamızda bir şişe şarap,
Gecelerden bir gece bezginiz.
Üstelik adamakıllı sarhoşuz.
Ellerin, ellerimde.
İspanyol meyhanesinde bir kadın
Çığlık çığlığa şarkı söylüyor.
Belli yıkılmış bir kadın.
Hayli çirkin, hayli geçkin, ağlamaklı.
Zayıf, incecik elli, kalın dudaklı.
Sesi bir tokat gibi patlıyor kulaklarımızda;
Yüzümüz al al oluyor.
İ....................",28.9.2000 15:50:00,"['Hüzün', 'Gece', 'Kadın']"
Ümit Yaşar Oğuzcan,Beni Kör Kuyularda,/beni-kor-kuyularda-siiri/,"Anı Şair: Ümit Yaşar Oğuzcan Altıncı MektupAndıkça Ne zaman seni düşünsem içim ürperir, 
Seninle gecen her saat, her gün gelir aklıma. 
Bir akşam vakti gelir ....................",28.8.2000 16:31:00,"['Hüzün', 'Çiçek', 'Zaman', 'Deniz']"
Ümit Yaşar Oğuzcan,Köpek Yalnızlığım,/kopek-yalnizligim-siiri/,"seni arıyorum kalabalık caddelerde,
tanımadığım insanlar geçiyor, sen yoksun..
perişan hayallerimin basladığı yerde,
sana sesleniyorum, duyuyormusun?beyaz güller açtı bahçelerde , sevdiğin..
ya o karanfil , baygın kokulu çiçek.
gel  yalnızlık bahçeme beyazlar giyin,
anladımki bu ömür sensiz geçmeyecek.....................",7.5.2001 20:14:00,"['Müzik', 'Çiçek']"
Ümit Yaşar Oğuzcan,Sevgi Çıkmazı,/sevgi-cikmazi-siiri/,"Acılar vardır, bir de çaresizlikler
Ne zaman başladıysa benim öyküm
Yürüdük, kim bilir kaç yıl beraber
Bir yanımda aşk, bir yanımda olum<....................",28.8.2000 16:40:00,"['Zaman', 'Ölüm']"
Ümit Yaşar Oğuzcan,Bana Bir Şarkı Söyle,/bana-bir-sarki-soyle-siiri/,"Falcı kadın yalan söylüyor yalan
Bizi birbirimiz için yaratmış Tanrımız
Nasıl mümkün değilse
Yıldızları toplamak gökyüzünden
Öylesine imkansız bir şey aşkımızKurudu gölgesinde oturduğumuz ağaçlar
Bahçelerde sevdiğin çiçekler kalmadı
Sadece hatıralarda ebedi olan
Vazgeçeme....................",10.5.2001 10:21:00,"['Kadın', 'Çiçek']"
Ümit Yaşar Oğuzcan,Adak,/adak-siiri/,"Üzgün değilim kanmayı öğrendimse
Senden s....................",14.9.2000 11:58:00,[]
Ümit Yaşar Oğuzcan,Andıkça,/andikca-siiri/,"Şimdi seni düşünüyorum, biliyorsun
Aklıma ellerin geliyor önce
Yağmurlu birgün hatırlıyorum
Islanmış bir serçe kuşu hatırlıyorum
Durup durup ölümü hatırlıyorum
Alnıma bir ışık vuruyor karanlıkta
Sonra alabildiğine bir sessizlik başlıyor
Alabildiğine bir deniz
Alabildiğine kum
İçim ürpertilerle dolu
Karanlık denizlerin ortasında
Seni düşünüyorumHani denizin insanı deli eden maviliği
Nerde o güneş parıltıları nerde
Göremiyorum ama duyuyorum
Yaklaşan fırtına sen olmalısın
Bu rüzgar senin hayallerin olmalı
Senin ümitlerin
Senin arzuların olmalı
Bütün karanlıklara razıyım
Yalnız uzaklarda, çok uzaklarda
Bir gemici feneri yanmalıBu korkunç ağırlıkları kim koydu....................",13.2.2001 23:53:00,"['Güneş', 'İhanet', 'Yağmur', 'Deniz', 'Ölüm']"
Ümit Yaşar Oğuzcan,Her Gece Sen,/her-gece-sen-siiri/,"Her gün başka oyunlar oynanıyor yeryüzünde
Yıllardır afişte kalan bizim oyunumuz
Sen bütün güzelliğinle her gece sahnedesin
Dekor durmadan değişiyor
Ama hep aynı müzik
Grieg'in o ünlü konçertosu
Denizin açılıp açılıp vurması kıyılara
Suyun damlaması mermere ağır ağır
Rüzgarların esmesi dağ başında
Kuyuya düşen bir taşın yankısı
Ya da
Bir mum alevinin o tiz sesi
Hep kulaklarımda
Seni görebildiğim kadar duyuyorum
Haydi oy....................",8.12.2001 04:15:00,"['Müzik', 'Kadın']"
Ümit Yaşar Oğuzcan,Aşk Şairi,/ask-sairi-siiri/,"Beni seveceksen
İyi sev....................",19.9.2000 12:02:00,['Günaydın']
Ümit Yaşar Oğuzcan,Abanoz Sokağı,/abanoz-sokagi-siiri/,"Kol kola gezdiğimiz ıslak gecelerde kal 
Sevişt....................",16.12.2000 12:31:00,[]
Ümit Yaşar Oğuzcan,Dostlar Seni Unutur Mu,/dostlar-seni-unutur-mu-siiri/,"Senden başka kimse bilmesin istiyorum
Gözlerimin nasıl aşka çağırdığını
Bakışlarımın nasıl gel diye haykırdığını
Gözlerimden, belli oluyor seni sevdiğimEllerimin aradığı ellerindir geceler boyu
Mümkün değil, bu sevgiyi bıçaklayamam ki
Ne ya....................",28.8.2000 20:32:00,['Gece']
Ümit Yaşar Oğuzcan,Bir Gün,/bir-gun-3-siiri/,"Siz ne zaman sevdiyseniz çaresizlik vardı
Bir karanlıktı basan içinizi aşkla beraber
Sevince her yeriniz bir humma ateşiyle yanardı
Sonra gözlerinizde yaş, alnınızda terOnu....................",28.8.2000 20:35:00,"['Zaman', 'Kadın']"
Ümit Yaşar Oğuzcan,A,/a-3-siiri/,"Ben nice İstanbul’lular gördüm sana gelinceye kadar 
Kirli paçavralara benzerdi insanları 
Dostluktan, vefadan yoksun. 
Bölünmüş, dağılmış, parçalanmış 
Ve herbiri kendi ağırlığıyla ezilmiş,  yorgun. 
Yüzümde dolaşan birer iğrenç böcekti gözleri 
Bir tutsam 
Yapışır kalırdı ellerime en çirkin yerleri 
Evlerinde bulduğum yalnızlık 
Sokaklarında bulduğum upuzun bir kahırdı. 
Günler boyunca 
Bir başka karanlık gelirdi 
Karanlığın biri kaybolunca 
Güneşler doğardı görmezdim. 
Bir ses durmadan ölüme çağırırdı beni 
Bilmezdim bu şehirde senin yaşadığını. 
Bilmezdim... Zindandı bütün meyhaneler 
Duvarlar karaydı 
Köhne bir bizans eskisiydi İstanbul sensiz. 
Semt semt bir ağır yo....................",4.1.2001 14:25:00,"['Çiçek', 'Hayvan', 'Deniz', 'Şehir', 'İstanbul']"
Ümit Yaşar Oğuzcan,Zaman İçinde,/zaman-icinde-siiri/,"Yaşadığımız dünyada herşey yalan değil
Şu milyonlarca insanın hepsi de yalancı değil
Seven insan inanmak ister,inanılmak ister
Bir gün aldanmak bile o kadar acı değilİna....................",13.4.2001 20:57:00,"['Güneş', 'Zaman']"
Ümit Yaşar Oğuzcan,Üstüme Varma İstanbul,/ustume-varma-istanbul-siiri/,"Aşk mıydı o, aşkımsı bir şey miydi 
Neydi çekip kendine, beni bağlayan 
Kanatan dudağımı, tenimi dağlayan 
Elleri ta içimde o dev miydi Etime bir alev değmişçesine 
Nasıl da yakardı öptüğü zaman 
Bir su gibi akıp gitti avuçlarımdan 
Yorgunum şimdi bin yıl sevmişç....................",16.7.2000 15:02:00,"['Çiçek', 'Gece', 'Zaman']"
Ümit Yaşar Oğuzcan,Ben Eylül Sen Haziran,/ben-eylul-sen-haziran-siiri/,"Dönebilmek o dönüşü olmayan yollardan
Sürekli bir aldanış bir daha bir daha
Hiç bitmeyecek gecelerden bir sabaha
Çikabilmek ve sevmek durmadan usanmadanKonuşmak konuşmak gözlerle fısıltılarla
Duymak büyülü sıcaklıgını beyaz ellerin
Her geçen dakika var oldugunu anlamak için
Yaşamak arzu dolu dudaklarda, şarkılarla....................",16.7.2000 14:46:00,"['Mutluluk', 'Zaman']"
Ümit Yaşar Oğuzcan,Ayrılırken,/ayrilirken-siiri/,"Düşün, nice günler gececek aradan
Nice yıllar gececek, düşün
Farkında bile olmayacaksın
Nasıl bir girdaba düstüğümüzün
Altın sarısı sacların akpak olacak
İnce, beyaz ellerin nasır nasır
Göreceksin ....................",19.2.2001 21:28:00,"['Zaman', 'Gece', 'Mutluluk', 'Ölüm']"
Ümit Yaşar Oğuzcan,Anı,/ani-4-siiri/,"Bütün bu sürekli arayışlar neden bilir misin
Neden bu durup isyan etmeler Allaha
Bu aldanmalar, yıkılmalar, bu sonsuz çalkanış
Hep sana yaklaşmak için, biraz daha biraz daha
Se....................",28.8.2000 20:23:00,[]
Ümit Yaşar Oğuzcan,Gerçekten Sevmek,/gercekten-sevmek-siiri/,"Bir karanlık geliyor yokluğunun ardından
Ne zaman güneş batsa bu son gecem diyorum
Vazgeç yalan dünyanın köhne saltanatından
Yetişir bunca keder,....................",28.8.2000 18:48:00,"['Güneş', 'Şiir', 'Hüzün', 'Müzik', 'Özlem', 'Zaman', 'Ayrılık']"
Ümit Yaşar Oğuzcan,Aşktı O,/askti-o-siiri/,"Hep böyle çocuksu mu bakar senin gözlerin?
Hep böyle içinde bir uzak ışık mı yanar?
Bakışlarında beni dinlendiren bir şey var,
Kıyısındaymış gibi en sakin denizlerin...Bir ye....................",4.1.2001 14:22:00,['Hüzün']
Ümit Yaşar Oğuzcan,Yokluğun Her Dakika Ölüm Demek Gitme Kal,/yoklugun-her-dakika-olum-demek-gitme-kal-siiri/,"Biliyor musun
Senden ayrılalı sakal bıraktım
Zamanının akısına koyuverdim kendimi
Gömleklerim kolalı değil artık
Pantolonumun ütülü değil
Ayakkabım boyalı değil
Öylesine değiştim ki
Görsen tanıyamasın
Sabahları gün doğarken kalkıyorum
İlk isim bir sigara yakmak oluyor
Ve bir sure denizin hışırtısını dinl....................",28.8.2000 19:57:00,[]
Ümit Yaşar Oğuzcan,Bir Başka İstanbul,/bir-baska-istanbul-siiri/,"Namusum üzerine yemin ederim 
Bu şehri bu evleri bu sokakları sevmiyorum 
Tiksiniyorum bu iğrenç kalabalıktan 
Yalnızlığı özlüyorum Yalnızlı....................",4.1.2001 14:42:00,['Yağmur']
Ümit Yaşar Oğuzcan,Ayrılık Günü,/ayrilik-gunu-siiri/,"Dün bir fotoğrafta gözlerini gördüm
İki uzak yıldız gibiydiler, dalgın
Bilsen neler anlattı bana, sessizce
Bir sevgiyle derinleşen bakışların.Ord....................",29.7.2001 11:43:00,['Mutluluk']
Ümit Yaşar Oğuzcan,Arayış,/arayis-siiri/,"Ne gariptir şu ayrılık günleri
Bir dosttan da, düşmandan da ayrılsan
Nedense bir tuhaf oluyor insan Derin bir sizi giriyor içeri
Son bir defa bakarken caddelere
Dükkanlara, ev....................",28.8.2000 18:02:00,"['Yağmur', 'Ayrılık']"
Ümit Yaşar Oğuzcan,Bilir Misin,/bilir-misin-3-siiri/,"nerde o denizim benim, lekesiz gökyüzüm?
hani o içtikce susuzlugumu arttıran çeşme?
kim götürdü bakışlarımı, ne oldu gözlerime?
hani benim ellerim, ayaklarım, saçlarım, yüzüm?bu....................",11.8.2000 15:40:00,[]
Ümit Yaşar Oğuzcan,Aynalardan Uzakta,/aynalardan-uzakta-siiri/,"Bir gül olmak isterdim koparılmak pahasına, 
Bir buket içinde sana sunulan...Bakışların, nefesin okşardı yapraklarımı ama, ....................",5.5.2002 15:06:00,['Çiçek']
Ümit Yaşar Oğuzcan,Bir Pınarsın İçilen Ama Hiç Kanılmayan,/bir-pinarsin-icilen-ama-hic-kanilmayan-siiri/,"Sıyrıldı bütün örtülerden
Bir güneş doğdu karşımızda
Duyduk teninin sıcaklığını
Hoyrat avuçl....................",21.3.2001 22:18:00,"['Güneş', 'Kadın']"
Ümit Yaşar Oğuzcan,İstanbul Dedim de Seni Hatırladım,/istanbul-dedim-de-seni-hatirladim-siiri/,"sevgilerimizi söyleyemez olduk
göremez olduk nice güzellikleri
yalanı öğrendik
utanmayı öğrendik
inandık ....................",4.6.2001 14:50:00,[]
Ümit Yaşar Oğuzcan,Aşkımızın Son Çarşambası,/askimizin-son-carsambasi-siiri/,"Büyüdü gözleri büyüdü 
Yuvarlandı boşluktan 
Bir duvar çöktü ansızın 
Bir ayna parçalandı 
Bir adam çıldırdı yokluktan Elleri vardı damar damar 
Parmakları vardı ince....................",15.12.2000 12:39:00,['Güneş']
Ümit Yaşar Oğuzcan,Gözlerim Gözlerinde,/gozlerim-gozlerinde-siiri/,"Sen üzerinde nice şafakların söktüğü
Sevgi denizlerime akan büyük nehir
Sen biraz ışık, biraz tılsım, biraz büyü
Sen yıllardır yazıp bitiremediğim şiirDurmadan bir gül açar ellerinde pembe
Sen nefes alışı en bakir güzelliğin
Gözlerin midir parlayan gökyüzünde
Bir g....................",28.1.2002 05:23:00,"['Güneş', 'Sevgi', 'Şiir', 'Gece', 'Zaman', 'Deniz']"
Ümit Yaşar Oğuzcan,Farzet Ki,/farzet-ki-siiri/,"Geçen gün senin yanında aklıma ölümüm geldi
Sensizlik bir mızrak gibi saplandı kalbime
O son anı hatırladım, o seni koyup gidişimi
İlk defa bu kadar üzüldüm dünyaya geldiğimeÖlüm! Kaçınılmaz sonuç, o soğuk kelime
Bir gün ucuz bir fahişe gibi koynuma girecek
Yüzümde gezinecek pis ve iğrenç elleri
Korkudan büyümüş gözlerimde hayaller can verecekBiliyorum, üzüleceksi....................",23.3.2002 00:27:00,['Ölüm']
Ümit Yaşar Oğuzcan,Bir Dost İçin Sone,/bir-dost-icin-sone-siiri/,"Ey! Üzerinde yıllar vadedilmiş
Mavilikler ortasında ada
Bu sonbahar günü ruhumda geniş
Ve karanlık hatıran canlanmadaBu ürkek, sakin sonbahar akşamı
Denizlere doğru taşıyor ruhum
Denizler doldurmuş bütün dünyamı
Sana denizlerden sesleniyorumBen denizlere aşinayım artık
Yabancım değil deniz musikisi
İlk aşk kadar temiz bu aşinalık
Deniz sevgililerin en iyisiDeniz insanlarının hepsi cömert
Denizler, denizler doldurdu beni
Denizler mavi, denizler lacivert
Deniz insanlarının gönlü ganiDenizlerin beyaz gemileri var....................",28.1.2002 05:19:00,"['Müzik', 'Hasret', 'Doğum Günü', 'Günaydın', 'Deniz']"
Ümit Yaşar Oğuzcan,İş İşten Geçtikten Sonra,/is-isten-gectikten-sonra-siiri/,"Önce çaresizlik çaldı kapıları
Sonra yoksulluk
Bütün aşina çehreler silindi aynalar....................",28.1.2002 05:17:00,['Umut']
Ümit Yaşar Oğuzcan,Ayten'in sonu,/ayten-in-sonu-siiri/,"Ne zaman denizler çöl,
Çöller deniz olursa
Kayalarda ....................",14.1.2001 18:04:00,"['Güneş', 'Zaman', 'Deniz']"
Ümit Yaşar Oğuzcan,Ayna,/ayna-10-siiri/,"İnsan bir yerde boş vermeli kurallara, düzenlere
İnsan bir yerde kendini bırakmalı
Hiçe saymalı düzenini dünyanın
Zamana karşı ko....................",8.2.2002 05:33:00,[]
Ümit Yaşar Oğuzcan,Bir Gün Kapına Gelsem,/bir-gun-kapina-gelsem-siiri/,"Önce dünyama sesin girdi özlemli, kısık
Bir mutluluk muştusu gibi ta uzaklardan
Çok sonrası öptüğüm o gül dudaklarından
Önce sesindi çağıran beni gür ve aydınlıkÖnce küçük ellerin kondu avuçlar....................",28.8.2000 20:33:00,['Çiçek']
Ümit Yaşar Oğuzcan,İspanyol Meyhanesi,/ispanyol-meyhanesi-siiri/,"Seninle paylaşmak uykularda en büyük günahları
Seninle uyanmak nice çılgın gecelerden sonra
Alır oturur beni kokun uzaklara en uzaklara
Ağzın dudaklarımda ıslak bir güldür sabahlar....................",28.8.2000 19:44:00,['Ölüm']
